Sr.No,Series Name,Years,Runtime,Genre,Rating,Certificate,Votes
344,Justice League,(2001–2004),22 min,"Animation,Action,Adventure",8.6,TV-PG,"48,494"
345,Young Justice,(2010–2022),23 min,"Animation,Action,Adventure",8.6,TV-PG,"43,093"
346,Mob Psycho 100,(2016–2022),24 min,"Animation,Action,Comedy",8.6,TV-14,"37,701"
347,Dragon Ball,(1986–1989),25 min,"Animation,Action,Adventure",8.6,TV-14,"60,836"
348,Fruits Basket,(2019–2021),24 min,"Animation,Comedy,Drama",8.6,TV-14,"7,407"
349,Your Lie in April,(2014–2018),23 min,"Animation,Comedy,Drama",8.6,TV-PG,"33,057"
350,Bleach: Thousand-Year Blood War,(2022– ),24 min,"Animation,Action,Adventure",9.1,TV-MA,"19,169"
351,The Legend of Hanuman,(2021– ),25 min,"Animation,Adventure,Fantasy",9.1,PG,"9,831"
352,Jorel's Brother,(2014– ),11 min,"Animation,Short,Comedy",9.1,TV-PG,"1,148"
353,Arcane,(2021– ),41 min,"Animation,Action,Adventure",9.0,TV-14,"228,066"
354,Hunter x Hunter,(2011–2014),24 min,"Animation,Action,Adventure",9.0,TV-14,"111,215"
355,Batman: The Animated Series,(1992–1995),23 min,"Animation,Action,Adventure",9.0,TV-PG,"108,444"
356,Legend of the Galactic Heroes,(1988–1997),25 min,"Animation,Action,Drama",9.0,TV-MA,"3,985"
357,One Piece,(1999– ),24 min,"Animation,Action,Adventure",8.9,TV-14,"143,165"
358,Death Note,(2006–2007),23 min,"Animation,Crime,Drama",8.9,TV-14,"342,767"
359,Gravity Falls,(2012–2016),23 min,"Animation,Adventure,Comedy",8.9,TV-Y7,"118,328"
360,Cowboy Bebop,(1998–1999),24 min,"Animation,Action,Adventure",8.9,TV-14,"126,670"
361,Hey Duggee,(2014– ),7 min,"Animation,Comedy,Family",8.9,TV-Y,"1,231"
362,Silver Fang,(1986),25 min,"Animation,Action,Adventure",8.9,NA,"3,003"
363,Hungarian Folk Tales,(1980–2012),NA,Animation,8.9,NA,"1,478"
364,Vinland Saga,(2019– ),24 min,"Animation,Action,Adventure",8.8,TV-MA,"49,895"
365,BoJack Horseman,(2014–2020),25 min,"Animation,Comedy,Drama",8.8,TV-MA,"169,194"
366,【Oshi No Ko】,(2023– ),24 min,"Animation,Drama,Fantasy",8.8,TV-14,"2,808"
367,Dragon Ball Z,(1989–1996),24 min,"Animation,Action,Adventure",8.8,TV-PG,"136,804"
368,Steins;Gate,(2011–2015),24 min,"Animation,Comedy,Drama",8.8,TV-14,"66,460"
369,Fighting Spirit,(2000–2002),20 min,"Animation,Action,Comedy",8.8,TV-PG,"7,933"
370,Dragon Ball Z,(1989–1996),24 min,"Animation,Action,Adventure",8.8,TV-PG,"82,766"
371,Fighting Spirit: New Challenger,(2009),NA,"Animation,Action,Comedy",8.8,NA,"2,831"
372,Future Boy Conan,(1978),24 min,"Animation,Adventure,Comedy",8.8,TV-PG,"4,589"
373,Mushi-Shi: Next Passage,(2014–2015),24 min,"Animation,Drama,Fantasy",8.8,TV-14,"3,028"
374,Demon Slayer: Kimetsu no Yaiba,(2019– ),24 min,"Animation,Action,Adventure",8.7,TV-MA,"119,199"
375,South Park,(1997– ),22 min,"Animation,Comedy",8.7,TV-14,"388,015"
376,The Simpsons,(1989– ),22 min,"Animation,Comedy",8.7,TV-14,"417,671"
377,Invincible,(2021– ),50 min,"Animation,Action,Adventure",8.7,TV-MA,"152,677"
378,Naruto: Shippuden,(2007–2017),24 min,"Animation,Action,Adventure",8.7,TV-PG,"137,014"
379,Berserk,(1997–1998),23 min,"Animation,Action,Adventure",8.7,TV-MA,"44,100"
380,One Punch Man,(2015–2019),24 min,"Animation,Action,Comedy",8.7,TV-PG,"169,989"
381,Monster,(2004–2005),24 min,"Animation,Crime,Drama",8.7,TV-14,"35,566"
382,Primal,(2019– ),22 min,"Animation,Action,Adventure",8.7,TV-MA,"17,077"
383,Haikyu!!,(2014–2020),24 min,"Animation,Comedy,Drama",8.7,TV-14,"29,080"
384,Justice League Unlimited,(2004–2006),23 min,"Animation,Action,Adventure",8.7,TV-Y7-FV,"17,834"
385,Gintama,(2005–2021),25 min,"Animation,Action,Comedy",8.7,TV-14,"12,833"
386,Code Geass,(2006–2008),24 min,"Animation,Action,Drama",8.7,TV-14,"72,664"
387,Slam Dunk,(1993–1996),22 min,"Animation,Comedy,Drama",8.7,TV-PG,"6,425"
388,Don't Hug Me I'm Scared,(2022– ),23 min,"Animation,Comedy,Horror",8.7,TV-14,"3,892"
389,Fighting Spirit: Rising,(2013–2014),20 min,"Animation,Action,Comedy",8.7,NA,"2,573"
390,The Mysterious Cities of Gold,(1982–1983),28 min,"Animation,Adventure,Comedy",8.7,TV-Y7,"4,104"
391,Archer,(2009– ),22 min,"Animation,Action,Comedy",8.6,TV-MA,"159,129"
392,Adventure Time,(2010–2018),11 min,"Animation,Action,Adventure",8.6,TV-PG,"101,186"
393,Justice League,(2001–2004),22 min,"Animation,Action,Adventure",8.6,TV-PG,"48,494"
394,Young Justice,(2010–2022),23 min,"Animation,Action,Adventure",8.6,TV-PG,"43,093"
395,Mob Psycho 100,(2016–2022),24 min,"Animation,Action,Comedy",8.6,TV-14,"37,701"
396,Dragon Ball,(1986–1989),25 min,"Animation,Action,Adventure",8.6,TV-14,"60,836"
397,Fruits Basket,(2019–2021),24 min,"Animation,Comedy,Drama",8.6,TV-14,"7,407"
398,Your Lie in April,(2014–2018),23 min,"Animation,Comedy,Drama",8.6,TV-PG,"33,057"
399,The Venture Bros.,(2003–2018),22 min,"Animation,Action,Adventure",8.6,TV-14,"26,769"
400,The Legend of Hanuman,(2021– ),25 min,"Animation,Adventure,Fantasy",9.1,PG,"9,831"
401,Jorel's Brother,(2014– ),11 min,"Animation,Short,Comedy",9.1,TV-PG,"1,148"
402,Arcane,(2021– ),41 min,"Animation,Action,Adventure",9.0,TV-14,"228,066"
403,Hunter x Hunter,(2011–2014),24 min,"Animation,Action,Adventure",9.0,TV-14,"111,215"
404,Batman: The Animated Series,(1992–1995),23 min,"Animation,Action,Adventure",9.0,TV-PG,"108,444"
405,Legend of the Galactic Heroes,(1988–1997),25 min,"Animation,Action,Drama",9.0,TV-MA,"3,985"
406,One Piece,(1999– ),24 min,"Animation,Action,Adventure",8.9,TV-14,"143,165"
407,Death Note,(2006–2007),23 min,"Animation,Crime,Drama",8.9,TV-14,"342,767"
408,Gravity Falls,(2012–2016),23 min,"Animation,Adventure,Comedy",8.9,TV-Y7,"118,328"
409,Cowboy Bebop,(1998–1999),24 min,"Animation,Action,Adventure",8.9,TV-14,"126,670"
410,Hey Duggee,(2014– ),7 min,"Animation,Comedy,Family",8.9,TV-Y,"1,231"
411,Silver Fang,(1986),25 min,"Animation,Action,Adventure",8.9,NA,"3,003"
412,Hungarian Folk Tales,(1980–2012),NA,Animation,8.9,NA,"1,478"
413,Vinland Saga,(2019– ),24 min,"Animation,Action,Adventure",8.8,TV-MA,"49,895"
414,BoJack Horseman,(2014–2020),25 min,"Animation,Comedy,Drama",8.8,TV-MA,"169,194"
